PK_Team,Team
416,ingegerd
417,iran
418,iraq
419,ireland
420,ireland-1
421,ireland-2
422,ireland-3
423,irene
424,israel
425,israel-1
426,israel-2
427,italia
428,italy
429,italy-1
430,italy-2
431,italy-3
432,jamaica
433,jamaica-2
434,japan
435,japan-1
436,japan-2
437,japan-3
438,jeannette-18
439,jest
440,jet
441,jill
442,jo
443,johan
444,john b
445,jordan
446,joy
447,june climene
448,jupiter
449,k division metropolitan police team-3
450,k.s.s.s. 1912-2
451,kalayaan
452,kannibaltje
453,kathleen
454,kazakhstan
455,kemphaan
456,kenya
457,kerstin-1
458,kiel
459,kiribati
460,kitty-1
461,knigsberg
462,kns
463,kon-tiki
464,korshun
465,kosovo
466,kristiania roklub
467,kristiania roklub-1
468,kuling
469,kullan
470,kurush iv
471,kuwait
472,kyrgyzstan
473,l'aile vi
474,labandera
475,lady c
476,lalage
477,laos
478,lasha
479,latvia
480,latvia-1
481,latvia-2
482,laurea-1
483,lbeck
484,leander club #2-2
485,leander club-1
486,leander club-2
487,lebanon
488,"lemzos thorichton ""psara""-3"
489,"lemzos thorichton ""spetsai""-4"
490,lerina
491,lesotho
492,lett
493,libellule de paris
494,libellule de paris-3
495,liberia
496,libya
497,liechtenstein
498,"life boat naval ship ""spetsai""-1"
499,linglom
500,lithuania
501,liverpool police team-2
502,llanoria
503,london city police-1
504,lotta iv
505,lucky
506,lucky girl-1
507,lucky star
508,ludwigshafener ruder verein-1
509,ludwigshafener ruderverein
510,lully ii
511,luxembourg
512,luxembourg-1
513,luxembourg-2
514,lyn-2
515,lynn
516,mac miche
517,macedonia
518,macky vi
519,mad dog
520,madagascar
521,magda ix
522,magdalen college boat club-1
523,maid of lebanon
524,mainz
525,malawi
526,malaya
527,malaysia
528,malaysia-1
529,malaysia-2
530,maldives
531,mali
532,malta
533,manana
534,marga-2
535,margaret
536,mari
537,marie-tim
538,"marinai della nave da guerra ""varese"""
539,marmara
540,marmi ii-1
541,marshall islands
542,marsouin-8
543,martha-1
544,maryke
545,mascaret-4
546,mascotte
547,matrero ii
548,mauritania
549,mauritius
550,may be
